Wed 08 Apr 2026, 11:27AM
('Scientist:', '', 'Participant:', '')
################# Phase 1 ######################
################# INIT balls ######################
12.901, 40, Clicked: RED, x=950,  y=530, Clicked: None, x=950, y=530,  Unknown Color: x=940,  y=537,  dx=-0.08337253557723696,  dy=0.0552179346899389,  clicks=42,  score=42, BLUE: x=1092,  y=264,  dx=-0.07218594074945699,  dy=-0.06920397357172409,  clicks=0,  score=0,
################# INIT balls ######################
################# INIT balls ######################
1.028, 39, Clicked: RED, x=870,  y=167, Clicked: None, x=870, y=167,  Unknown Color: x=887,  y=191,  dx=-0.08733087165833407,  dy=0.04871672049097296,  clicks=1,  score=1, BLUE: x=906,  y=444,  dx=-0.07860100138225302,  dy=-0.061821376413883404,  clicks=0,  score=0,
1.195, 40, Clicked: RED, x=870,  y=167, Clicked: None, x=870, y=167,  Unknown Color: x=887,  y=191,  dx=-0.08733087165833407,  dy=0.04871672049097296,  clicks=2,  score=2, BLUE: x=906,  y=444,  dx=-0.07860100138225302,  dy=-0.061821376413883404,  clicks=0,  score=0,
1.365, 41, Clicked: RED, x=870,  y=167, Clicked: None, x=870, y=167,  Unknown Color: x=887,  y=191,  dx=-0.08733087165833407,  dy=0.04871672049097296,  clicks=3,  score=3, BLUE: x=906,  y=444,  dx=-0.07860100138225302,  dy=-0.061821376413883404,  clicks=0,  score=0,
1.648, 42, Clicked: RED, x=870,  y=167, Clicked: None, x=870, y=167,  Unknown Color: x=887,  y=191,  dx=-0.08733087165833407,  dy=0.04871672049097296,  clicks=4,  score=4, BLUE: x=906,  y=444,  dx=-0.07860100138225302,  dy=-0.061821376413883404,  clicks=0,  score=0,
1.829, 43, Clicked: RED, x=870,  y=167, Clicked: None, x=870, y=167,  Unknown Color: x=887,  y=191,  dx=-0.08733087165833407,  dy=0.04871672049097296,  clicks=5,  score=5, BLUE: x=906,  y=444,  dx=-0.07860100138225302,  dy=-0.061821376413883404,  clicks=0,  score=0,
1.993, 44, Clicked: RED, x=870,  y=167, Clicked: None, x=870, y=167,  Unknown Color: x=887,  y=191,  dx=-0.08733087165833407,  dy=0.04871672049097296,  clicks=6,  score=6, BLUE: x=906,  y=444,  dx=-0.07860100138225302,  dy=-0.061821376413883404,  clicks=0,  score=0,
2.172, 45, Clicked: RED, x=870,  y=167, Clicked: None, x=870, y=167,  Unknown Color: x=887,  y=191,  dx=-0.08733087165833407,  dy=0.04871672049097296,  clicks=7,  score=7, BLUE: x=906,  y=444,  dx=-0.07860100138225302,  dy=-0.061821376413883404,  clicks=0,  score=0,
2.336, 46, Clicked: RED, x=870,  y=167, Clicked: None, x=870, y=167,  Unknown Color: x=887,  y=191,  dx=-0.08733087165833407,  dy=0.04871672049097296,  clicks=8,  score=8, BLUE: x=906,  y=444,  dx=-0.07860100138225302,  dy=-0.061821376413883404,  clicks=0,  score=0,
2.536, 47, Clicked: RED, x=870,  y=167, Clicked: None, x=870, y=167,  Unknown Color: x=887,  y=191,  dx=-0.08733087165833407,  dy=0.04871672049097296,  clicks=9,  score=9, BLUE: x=906,  y=443,  dx=-0.07860100138225302,  dy=-0.061821376413883404,  clicks=0,  score=0,
2.718, 48, Clicked: RED, x=870,  y=167, Clicked: None, x=870, y=167,  Unknown Color: x=887,  y=191,  dx=-0.08733087165833407,  dy=0.04871672049097296,  clicks=10,  score=10, BLUE: x=906,  y=443,  dx=-0.07860100138225302,  dy=-0.061821376413883404,  clicks=0,  score=0,
2.914, 49, Clicked: RED, x=870,  y=167, Clicked: None, x=870, y=167,  Unknown Color: x=887,  y=191,  dx=-0.08733087165833407,  dy=0.04871672049097296,  clicks=11,  score=11, BLUE: x=906,  y=443,  dx=-0.07860100138225302,  dy=-0.061821376413883404,  clicks=0,  score=0,
3.082, 50, Clicked: RED, x=870,  y=167, Clicked: None, x=870, y=167,  Unknown Color: x=887,  y=191,  dx=-0.08733087165833407,  dy=0.04871672049097296,  clicks=12,  score=12, BLUE: x=906,  y=443,  dx=-0.07860100138225302,  dy=-0.061821376413883404,  clicks=0,  score=0,
3.263, 51, Clicked: RED, x=870,  y=167, Clicked: None, x=870, y=167,  Unknown Color: x=887,  y=191,  dx=-0.08733087165833407,  dy=0.04871672049097296,  clicks=13,  score=13, BLUE: x=906,  y=443,  dx=-0.07860100138225302,  dy=-0.061821376413883404,  clicks=0,  score=0,
3.461, 52, Clicked: RED, x=870,  y=167, Clicked: None, x=870, y=167,  Unknown Color: x=887,  y=191,  dx=-0.08733087165833407,  dy=0.04871672049097296,  clicks=14,  score=14, BLUE: x=906,  y=443,  dx=-0.07860100138225302,  dy=-0.061821376413883404,  clicks=0,  score=0,
3.607, 53, Clicked: RED, x=870,  y=167, Clicked: None, x=870, y=167,  Unknown Color: x=887,  y=191,  dx=-0.08733087165833407,  dy=0.04871672049097296,  clicks=15,  score=15, BLUE: x=906,  y=443,  dx=-0.07860100138225302,  dy=-0.061821376413883404,  clicks=0,  score=0,
3.806, 54, Clicked: RED, x=870,  y=167, Clicked: None, x=870, y=167,  Unknown Color: x=887,  y=191,  dx=-0.08733087165833407,  dy=0.04871672049097296,  clicks=16,  score=16, BLUE: x=906,  y=443,  dx=-0.07860100138225302,  dy=-0.061821376413883404,  clicks=0,  score=0,
3.973, 55, Clicked: RED, x=870,  y=167, Clicked: None, x=870, y=167,  Unknown Color: x=887,  y=191,  dx=-0.08733087165833407,  dy=0.04871672049097296,  clicks=17,  score=17, BLUE: x=906,  y=443,  dx=-0.07860100138225302,  dy=-0.061821376413883404,  clicks=0,  score=0,
4.529, 56, Clicked: RED, x=879,  y=183, Clicked: None, x=879, y=183,  Unknown Color: x=887,  y=191,  dx=-0.08733087165833407,  dy=0.04871672049097296,  clicks=18,  score=18, BLUE: x=906,  y=443,  dx=-0.07860100138225302,  dy=-0.061821376413883404,  clicks=0,  score=0,
4.678, 57, Clicked: RED, x=879,  y=183, Clicked: None, x=879, y=183,  Unknown Color: x=887,  y=191,  dx=-0.08733087165833407,  dy=0.04871672049097296,  clicks=19,  score=19, BLUE: x=906,  y=443,  dx=-0.07860100138225302,  dy=-0.061821376413883404,  clicks=0,  score=0,
4.845, 58, Clicked: RED, x=879,  y=183, Clicked: None, x=879, y=183,  Unknown Color: x=887,  y=191,  dx=-0.08733087165833407,  dy=0.04871672049097296,  clicks=20,  score=20, BLUE: x=906,  y=443,  dx=-0.07860100138225302,  dy=-0.061821376413883404,  clicks=0,  score=0,
5.014, 59, Clicked: RED, x=879,  y=183, Clicked: None, x=879, y=183,  Unknown Color: x=887,  y=191,  dx=-0.08733087165833407,  dy=0.04871672049097296,  clicks=21,  score=21, BLUE: x=906,  y=443,  dx=-0.07860100138225302,  dy=-0.061821376413883404,  clicks=0,  score=0,
################# INIT balls ######################
################# INIT balls ######################
2.633, 60, Clicked: RED, x=934,  y=177, Clicked: None, x=934, y=177,  Unknown Color: x=953,  y=169,  dx=0.08643493934370255,  dy=-0.050289176376736,  clicks=1,  score=1, BLUE: x=989,  y=472,  dx=0.006646802317125929,  dy=-0.09977885557049174,  clicks=0,  score=0,
3.295, 61, Clicked: RED, x=940,  y=179, Clicked: None, x=940, y=179,  Unknown Color: x=954,  y=169,  dx=0.08643493934370255,  dy=-0.050289176376736,  clicks=2,  score=2, BLUE: x=989,  y=472,  dx=0.006646802317125929,  dy=-0.09977885557049174,  clicks=0,  score=0,
3.888, 62, Clicked: RED, x=940,  y=179, Clicked: None, x=940, y=179,  Unknown Color: x=954,  y=169,  dx=0.08643493934370255,  dy=-0.050289176376736,  clicks=3,  score=3, BLUE: x=989,  y=472,  dx=0.006646802317125929,  dy=-0.09977885557049174,  clicks=0,  score=0,
