Wed 08 Apr 2026, 11:39AM
('Scientist:', '', 'Participant:', '')
################# Phase 1 ######################
################# INIT balls ######################
3.396, 36, Clicked: RED, x=919,  y=454, Clicked: None, x=919, y=454,  Unknown Color: x=941,  y=466,  dx=0.04946357302059268,  dy=0.08691003937426617,  clicks=17,  score=17, BLUE: x=1039,  y=319,  dx=-0.017237344272652163,  dy=-0.09850316727103788,  clicks=0,  score=0,
3.546, 37, Clicked: RED, x=919,  y=454, Clicked: None, x=919, y=454,  Unknown Color: x=941,  y=466,  dx=0.04946357302059268,  dy=0.08691003937426617,  clicks=18,  score=18, BLUE: x=1039,  y=319,  dx=-0.017237344272652163,  dy=-0.09850316727103788,  clicks=0,  score=0,
3.697, 38, Clicked: RED, x=919,  y=454, Clicked: None, x=919, y=454,  Unknown Color: x=941,  y=466,  dx=0.04946357302059268,  dy=0.08691003937426617,  clicks=19,  score=19, BLUE: x=1039,  y=319,  dx=-0.017237344272652163,  dy=-0.09850316727103788,  clicks=0,  score=0,
3.861, 39, Clicked: RED, x=919,  y=454, Clicked: None, x=919, y=454,  Unknown Color: x=941,  y=466,  dx=0.04946357302059268,  dy=0.08691003937426617,  clicks=20,  score=20, BLUE: x=1039,  y=319,  dx=-0.017237344272652163,  dy=-0.09850316727103788,  clicks=0,  score=0,
4.142, 40, Clicked: RED, x=919,  y=454, Clicked: None, x=919, y=454,  Unknown Color: x=941,  y=466,  dx=0.04946357302059268,  dy=0.08691003937426617,  clicks=21,  score=21, BLUE: x=1039,  y=319,  dx=-0.017237344272652163,  dy=-0.09850316727103788,  clicks=0,  score=0,
4.288, 41, Clicked: RED, x=919,  y=454, Clicked: None, x=919, y=454,  Unknown Color: x=941,  y=466,  dx=0.04946357302059268,  dy=0.08691003937426617,  clicks=22,  score=22, BLUE: x=1039,  y=319,  dx=-0.017237344272652163,  dy=-0.09850316727103788,  clicks=0,  score=0,
4.438, 42, Clicked: RED, x=919,  y=454, Clicked: None, x=919, y=454,  Unknown Color: x=941,  y=467,  dx=0.04946357302059268,  dy=0.08691003937426617,  clicks=23,  score=23, BLUE: x=1039,  y=319,  dx=-0.017237344272652163,  dy=-0.09850316727103788,  clicks=0,  score=0,
4.756, 43, Clicked: RED, x=919,  y=454, Clicked: None, x=919, y=454,  Unknown Color: x=941,  y=467,  dx=0.04946357302059268,  dy=0.08691003937426617,  clicks=24,  score=24, BLUE: x=1039,  y=319,  dx=-0.017237344272652163,  dy=-0.09850316727103788,  clicks=0,  score=0,
4.933, 44, Clicked: RED, x=919,  y=454, Clicked: None, x=919, y=454,  Unknown Color: x=941,  y=467,  dx=0.04946357302059268,  dy=0.08691003937426617,  clicks=25,  score=25, BLUE: x=1039,  y=319,  dx=-0.017237344272652163,  dy=-0.09850316727103788,  clicks=0,  score=0,
################# INIT balls ######################
################# INIT balls ######################
1.083, 43, Clicked: RED, x=285,  y=259, Clicked: None, x=285, y=259,  Unknown Color: x=267,  y=271,  dx=0.025922212322326183,  dy=-0.09658177316821348,  clicks=1,  score=1, BLUE: x=995,  y=484,  dx=-0.07153745629485318,  dy=0.06987411786106477,  clicks=0,  score=0,
1.267, 44, Clicked: RED, x=285,  y=259, Clicked: None, x=285, y=259,  Unknown Color: x=267,  y=271,  dx=0.025922212322326183,  dy=-0.09658177316821348,  clicks=2,  score=2, BLUE: x=995,  y=484,  dx=-0.07153745629485318,  dy=0.06987411786106477,  clicks=0,  score=0,
1.45, 45, Clicked: RED, x=285,  y=259, Clicked: None, x=285, y=259,  Unknown Color: x=267,  y=271,  dx=0.025922212322326183,  dy=-0.09658177316821348,  clicks=3,  score=3, BLUE: x=995,  y=484,  dx=-0.07153745629485318,  dy=0.06987411786106477,  clicks=0,  score=0,
1.634, 46, Clicked: RED, x=285,  y=259, Clicked: None, x=285, y=259,  Unknown Color: x=267,  y=271,  dx=0.025922212322326183,  dy=-0.09658177316821348,  clicks=4,  score=4, BLUE: x=995,  y=484,  dx=-0.07153745629485318,  dy=0.06987411786106477,  clicks=0,  score=0,
1.821, 47, Clicked: RED, x=285,  y=259, Clicked: None, x=285, y=259,  Unknown Color: x=267,  y=271,  dx=0.025922212322326183,  dy=-0.09658177316821348,  clicks=5,  score=5, BLUE: x=995,  y=484,  dx=-0.07153745629485318,  dy=0.06987411786106477,  clicks=0,  score=0,
2.02, 48, Clicked: RED, x=285,  y=259, Clicked: None, x=285, y=259,  Unknown Color: x=267,  y=271,  dx=0.025922212322326183,  dy=-0.09658177316821348,  clicks=6,  score=6, BLUE: x=995,  y=484,  dx=-0.07153745629485318,  dy=0.06987411786106477,  clicks=0,  score=0,
2.218, 49, Clicked: RED, x=285,  y=259, Clicked: None, x=285, y=259,  Unknown Color: x=267,  y=271,  dx=0.025922212322326183,  dy=-0.09658177316821348,  clicks=7,  score=7, BLUE: x=995,  y=484,  dx=-0.07153745629485318,  dy=0.06987411786106477,  clicks=0,  score=0,
2.397, 50, Clicked: RED, x=285,  y=259, Clicked: None, x=285, y=259,  Unknown Color: x=267,  y=271,  dx=0.025922212322326183,  dy=-0.09658177316821348,  clicks=8,  score=8, BLUE: x=995,  y=484,  dx=-0.07153745629485318,  dy=0.06987411786106477,  clicks=0,  score=0,
2.596, 51, Clicked: RED, x=285,  y=259, Clicked: None, x=285, y=259,  Unknown Color: x=267,  y=271,  dx=0.025922212322326183,  dy=-0.09658177316821348,  clicks=9,  score=9, BLUE: x=995,  y=484,  dx=-0.07153745629485318,  dy=0.06987411786106477,  clicks=0,  score=0,
2.793, 52, Clicked: RED, x=285,  y=259, Clicked: None, x=285, y=259,  Unknown Color: x=267,  y=271,  dx=0.025922212322326183,  dy=-0.09658177316821348,  clicks=10,  score=10, BLUE: x=995,  y=484,  dx=-0.07153745629485318,  dy=0.06987411786106477,  clicks=0,  score=0,
