Wed 18 Mar 2026, 03:41PM
('Scientist:', '', 'Participant:', '')
################# Phase 1 ######################
################# INIT balls ######################
20.458, 32, Clicked: None, x=708, y=463, Clicked: (0, 51, 255), x=708,  y=463,  RED: x=240,  y=1017,  dx=-0.09595157762780238,  dy=0.028165488647204653,  clicks=0,  score=0, Unknown Color: x=721,  y=462,  dx=0.07370719558450806,  dy=-0.0675814273233932,  clicks=33,  score=33,
20.608, 33, Clicked: None, x=708, y=463, Clicked: (0, 51, 255), x=708,  y=463,  RED: x=240,  y=1017,  dx=-0.09595157762780238,  dy=0.028165488647204653,  clicks=0,  score=0, Unknown Color: x=721,  y=462,  dx=0.07370719558450806,  dy=-0.0675814273233932,  clicks=34,  score=34,
20.76, 34, Clicked: None, x=708, y=463, Clicked: (0, 51, 255), x=708,  y=463,  RED: x=240,  y=1017,  dx=-0.09595157762780238,  dy=0.028165488647204653,  clicks=0,  score=0, Unknown Color: x=721,  y=462,  dx=0.07370719558450806,  dy=-0.0675814273233932,  clicks=35,  score=35,
20.908, 35, Clicked: None, x=708, y=463, Clicked: (0, 51, 255), x=708,  y=463,  RED: x=240,  y=1017,  dx=-0.09595157762780238,  dy=0.028165488647204653,  clicks=0,  score=0, Unknown Color: x=721,  y=462,  dx=0.07370719558450806,  dy=-0.0675814273233932,  clicks=36,  score=36,
21.073, 36, Clicked: None, x=708, y=463, Clicked: (0, 51, 255), x=708,  y=463,  RED: x=240,  y=1017,  dx=-0.09595157762780238,  dy=0.028165488647204653,  clicks=0,  score=0, Unknown Color: x=721,  y=462,  dx=0.07370719558450806,  dy=-0.0675814273233932,  clicks=37,  score=37,
21.189, 37, Clicked: None, x=708, y=463, Clicked: (0, 51, 255), x=708,  y=463,  RED: x=240,  y=1017,  dx=-0.09595157762780238,  dy=0.028165488647204653,  clicks=0,  score=0, Unknown Color: x=721,  y=462,  dx=0.07370719558450806,  dy=-0.0675814273233932,  clicks=38,  score=38,
21.321, 38, Clicked: None, x=708, y=463, Clicked: (0, 51, 255), x=708,  y=463,  RED: x=240,  y=1017,  dx=-0.09595157762780238,  dy=0.028165488647204653,  clicks=0,  score=0, Unknown Color: x=721,  y=462,  dx=0.07370719558450806,  dy=-0.0675814273233932,  clicks=39,  score=39,
21.437, 39, Clicked: None, x=708, y=463, Clicked: (0, 51, 255), x=708,  y=463,  RED: x=240,  y=1017,  dx=-0.09595157762780238,  dy=0.028165488647204653,  clicks=0,  score=0, Unknown Color: x=721,  y=462,  dx=0.07370719558450806,  dy=-0.0675814273233932,  clicks=40,  score=40,
29.957, 40, Clicked: None, x=707, y=480, Clicked: (0, 51, 255), x=707,  y=480,  RED: x=239,  y=1017,  dx=-0.09595157762780238,  dy=0.028165488647204653,  clicks=0,  score=0, Unknown Color: x=722,  y=461,  dx=0.07370719558450806,  dy=-0.0675814273233932,  clicks=41,  score=41,
################# INIT balls ######################
################# INIT balls ######################
30.088, 41, Clicked: None, x=706, y=480, Clicked: None, x=706, y=480, Clicked: None, x=706, y=480,  Unknown Color: x=397,  y=928,  dx=0.08126881802657948,  dy=0.05826988258579823,  clicks=0,  score=0, Unknown Color: x=202,  y=484,  dx=-0.06274376870409373,  dy=0.07786667765358421,  clicks=0,  score=0, Unknown Color: x=570,  y=972,  dx=0.0189136438250154,  dy=-0.09819508173661479,  clicks=0,  score=0,
