Tue 10 Mar 2026, 05:00PM
('Scientist:', '', 'Participant:', '')
################# Phase 1 ######################
################# INIT balls ######################
10.468, 0, Clicked: None, x=778, y=383, Clicked: None, x=778, y=383, Clicked: None, x=778, y=383,  RED: x=290,  y=576,  dx=6.096878580253447,  dy=-7.926416061351228,  clicks=0,  score=0, Unknown Color: x=742,  y=327,  dx=18.96827905613182,  dy=-6.340693152070286,  clicks=0,  score=0, Unknown Color: x=1162,  y=259,  dx=-12.754614619791017,  dy=27.153633383041267,  clicks=0,  score=0,
17.877, 8, Clicked: None, x=1051, y=462, Clicked: None, x=1051, y=462, Clicked: (255, 200, 0), x=1051,  y=462,  RED: x=335,  y=518,  dx=6.096878580253447,  dy=-7.926416061351228,  clicks=15,  score=0, Unknown Color: x=882,  y=280,  dx=18.96827905613182,  dy=-6.340693152070286,  clicks=8,  score=8, Unknown Color: x=1068,  y=460,  dx=-12.754614619791017,  dy=27.153633383041267,  clicks=13,  score=0,
18.025, 8, Clicked: None, x=1051, y=462, Clicked: None, x=1051, y=462, Clicked: (255, 200, 0), x=1051,  y=462,  RED: x=336,  y=517,  dx=6.096878580253447,  dy=-7.926416061351228,  clicks=15,  score=0, Unknown Color: x=885,  y=279,  dx=18.96827905613182,  dy=-6.340693152070286,  clicks=8,  score=8, Unknown Color: x=1066,  y=464,  dx=-12.754614619791017,  dy=27.153633383041267,  clicks=14,  score=0,
18.158, 8, Clicked: None, x=1051, y=462, Clicked: None, x=1051, y=462, Clicked: (255, 200, 0), x=1051,  y=462,  RED: x=337,  y=515,  dx=6.096878580253447,  dy=-7.926416061351228,  clicks=15,  score=0, Unknown Color: x=888,  y=278,  dx=18.96827905613182,  dy=-6.340693152070286,  clicks=8,  score=8, Unknown Color: x=1064,  y=467,  dx=-12.754614619791017,  dy=27.153633383041267,  clicks=15,  score=0,
18.307, 8, Clicked: None, x=1051, y=462, Clicked: None, x=1051, y=462, Clicked: (255, 200, 0), x=1051,  y=462,  RED: x=338,  y=514,  dx=6.096878580253447,  dy=-7.926416061351228,  clicks=15,  score=0, Unknown Color: x=890,  y=277,  dx=18.96827905613182,  dy=-6.340693152070286,  clicks=8,  score=8, Unknown Color: x=1062,  y=472,  dx=-12.754614619791017,  dy=27.153633383041267,  clicks=16,  score=0,
18.668, 8, Clicked: None, x=942, y=252, Clicked: (43, 0, 255), x=942,  y=252, Clicked: None, x=942, y=252,  RED: x=340,  y=511,  dx=6.096878580253447,  dy=-7.926416061351228,  clicks=15,  score=0, Unknown Color: x=897,  y=275,  dx=18.96827905613182,  dy=-6.340693152070286,  clicks=9,  score=9, Unknown Color: x=1058,  y=481,  dx=-12.754614619791017,  dy=27.153633383041267,  clicks=16,  score=0,
18.834, 9, Clicked: None, x=942, y=252, Clicked: (43, 0, 255), x=942,  y=252, Clicked: None, x=942, y=252,  RED: x=341,  y=510,  dx=6.096878580253447,  dy=-7.926416061351228,  clicks=15,  score=0, Unknown Color: x=900,  y=274,  dx=18.96827905613182,  dy=-6.340693152070286,  clicks=10,  score=10, Unknown Color: x=1056,  y=486,  dx=-12.754614619791017,  dy=27.153633383041267,  clicks=16,  score=0,
18.982, 10, Clicked: None, x=942, y=252, Clicked: (43, 0, 255), x=942,  y=252, Clicked: None, x=942, y=252,  RED: x=342,  y=509,  dx=6.096878580253447,  dy=-7.926416061351228,  clicks=15,  score=0, Unknown Color: x=903,  y=273,  dx=18.96827905613182,  dy=-6.340693152070286,  clicks=11,  score=11, Unknown Color: x=1054,  y=490,  dx=-12.754614619791017,  dy=27.153633383041267,  clicks=16,  score=0,
19.129, 11, Clicked: None, x=942, y=252, Clicked: (43, 0, 255), x=942,  y=252, Clicked: None, x=942, y=252,  RED: x=343,  y=508,  dx=6.096878580253447,  dy=-7.926416061351228,  clicks=15,  score=0, Unknown Color: x=906,  y=272,  dx=18.96827905613182,  dy=-6.340693152070286,  clicks=12,  score=12, Unknown Color: x=1052,  y=494,  dx=-12.754614619791017,  dy=27.153633383041267,  clicks=16,  score=0,
19.296, 12, Clicked: None, x=942, y=252, Clicked: (43, 0, 255), x=942,  y=252, Clicked: None, x=942, y=252,  RED: x=344,  y=506,  dx=6.096878580253447,  dy=-7.926416061351228,  clicks=15,  score=0, Unknown Color: x=909,  y=271,  dx=18.96827905613182,  dy=-6.340693152070286,  clicks=13,  score=13, Unknown Color: x=1050,  y=498,  dx=-12.754614619791017,  dy=27.153633383041267,  clicks=16,  score=0,
19.428, 13, Clicked: None, x=942, y=252, Clicked: (43, 0, 255), x=942,  y=252, Clicked: None, x=942, y=252,  RED: x=345,  y=505,  dx=6.096878580253447,  dy=-7.926416061351228,  clicks=15,  score=0, Unknown Color: x=912,  y=270,  dx=18.96827905613182,  dy=-6.340693152070286,  clicks=14,  score=14, Unknown Color: x=1048,  y=502,  dx=-12.754614619791017,  dy=27.153633383041267,  clicks=16,  score=0,
