Wed 18 Mar 2026, 04:08PM
('Scientist:', '', 'Participant:', '')
################# Phase 1 ######################
################# INIT balls ######################
192.446, 3, Clicked: None, x=696, y=605, Clicked: (0, 8, 255), x=696,  y=605,  RED: x=335,  y=640,  dx=0.09351509725639189,  dy=0.03542494297987746,  clicks=0,  score=0, Unknown Color: x=687,  y=611,  dx=-0.08132615426787568,  dy=0.05818983272013838,  clicks=4,  score=4,
192.562, 4, Clicked: None, x=696, y=605, Clicked: (0, 8, 255), x=696,  y=605,  RED: x=335,  y=640,  dx=0.09351509725639189,  dy=0.03542494297987746,  clicks=0,  score=0, Unknown Color: x=687,  y=611,  dx=-0.08132615426787568,  dy=0.05818983272013838,  clicks=5,  score=5,
192.713, 5, Clicked: None, x=696, y=605, Clicked: (0, 8, 255), x=696,  y=605,  RED: x=335,  y=640,  dx=0.09351509725639189,  dy=0.03542494297987746,  clicks=0,  score=0, Unknown Color: x=687,  y=612,  dx=-0.08132615426787568,  dy=0.05818983272013838,  clicks=6,  score=6,
192.846, 6, Clicked: None, x=696, y=605, Clicked: (0, 8, 255), x=696,  y=605,  RED: x=335,  y=640,  dx=0.09351509725639189,  dy=0.03542494297987746,  clicks=0,  score=0, Unknown Color: x=687,  y=612,  dx=-0.08132615426787568,  dy=0.05818983272013838,  clicks=7,  score=7,
192.996, 7, Clicked: None, x=696, y=605, Clicked: (0, 8, 255), x=696,  y=605,  RED: x=335,  y=640,  dx=0.09351509725639189,  dy=0.03542494297987746,  clicks=0,  score=0, Unknown Color: x=687,  y=612,  dx=-0.08132615426787568,  dy=0.05818983272013838,  clicks=8,  score=8,
193.114, 8, Clicked: None, x=696, y=605, Clicked: (0, 8, 255), x=696,  y=605,  RED: x=335,  y=640,  dx=0.09351509725639189,  dy=0.03542494297987746,  clicks=0,  score=0, Unknown Color: x=687,  y=612,  dx=-0.08132615426787568,  dy=0.05818983272013838,  clicks=9,  score=9,
193.261, 9, Clicked: None, x=696, y=605, Clicked: (0, 8, 255), x=696,  y=605,  RED: x=335,  y=640,  dx=0.09351509725639189,  dy=0.03542494297987746,  clicks=0,  score=0, Unknown Color: x=687,  y=612,  dx=-0.08132615426787568,  dy=0.05818983272013838,  clicks=10,  score=10,
193.394, 10, Clicked: None, x=696, y=605, Clicked: (0, 8, 255), x=696,  y=605,  RED: x=335,  y=640,  dx=0.09351509725639189,  dy=0.03542494297987746,  clicks=0,  score=0, Unknown Color: x=687,  y=612,  dx=-0.08132615426787568,  dy=0.05818983272013838,  clicks=11,  score=11,
193.528, 11, Clicked: None, x=696, y=605, Clicked: (0, 8, 255), x=696,  y=605,  RED: x=335,  y=640,  dx=0.09351509725639189,  dy=0.03542494297987746,  clicks=0,  score=0, Unknown Color: x=687,  y=612,  dx=-0.08132615426787568,  dy=0.05818983272013838,  clicks=12,  score=12,
193.674, 12, Clicked: None, x=696, y=605, Clicked: (0, 8, 255), x=696,  y=605,  RED: x=335,  y=640,  dx=0.09351509725639189,  dy=0.03542494297987746,  clicks=0,  score=0, Unknown Color: x=687,  y=612,  dx=-0.08132615426787568,  dy=0.05818983272013838,  clicks=13,  score=13,
193.803, 13, Clicked: None, x=696, y=605, Clicked: (0, 8, 255), x=696,  y=605,  RED: x=335,  y=640,  dx=0.09351509725639189,  dy=0.03542494297987746,  clicks=0,  score=0, Unknown Color: x=687,  y=612,  dx=-0.08132615426787568,  dy=0.05818983272013838,  clicks=14,  score=14,
