Tue 10 Mar 2026, 05:05PM
('Scientist:', '', 'Participant:', '')
################# Phase 1 ######################
################# INIT balls ######################
10.374, 0, Clicked: None, x=912, y=621, Clicked: None, x=912, y=621, Clicked: None, x=912, y=621,  RED: x=1394,  y=496,  dx=5.5881818533001635,  dy=-8.292901999568471,  clicks=0,  score=0, Unknown Color: x=425,  y=532,  dx=13.953745177952332,  dy=14.328049256921616,  clicks=0,  score=0, Unknown Color: x=1227,  y=259,  dx=-14.435200172598972,  dy=26.29876415303576,  clicks=0,  score=0,
19.383, 3, Clicked: None, x=556, y=668, Clicked: (43, 0, 255), x=556,  y=668,  RED: x=1445,  y=422,  dx=5.5881818533001635,  dy=-8.292901999568471,  clicks=3,  score=0, Unknown Color: x=551,  y=661,  dx=13.953745177952332,  dy=14.328049256921616,  clicks=21,  score=0, Unknown Color: x=1097,  y=496,  dx=-14.435200172598972,  dy=26.29876415303576,  clicks=3,  score=3,
19.545, 3, Clicked: None, x=555, y=668, Clicked: (43, 0, 255), x=555,  y=668,  RED: x=1445,  y=420,  dx=5.5881818533001635,  dy=-8.292901999568471,  clicks=3,  score=0, Unknown Color: x=553,  y=664,  dx=13.953745177952332,  dy=14.328049256921616,  clicks=22,  score=0, Unknown Color: x=1095,  y=500,  dx=-14.435200172598972,  dy=26.29876415303576,  clicks=3,  score=3,
19.647, 3, Clicked: None, x=555, y=668, Clicked: (43, 0, 255), x=555,  y=668,  RED: x=1446,  y=419,  dx=5.5881818533001635,  dy=-8.292901999568471,  clicks=3,  score=0, Unknown Color: x=554,  y=665,  dx=13.953745177952332,  dy=14.328049256921616,  clicks=23,  score=0, Unknown Color: x=1093,  y=502,  dx=-14.435200172598972,  dy=26.29876415303576,  clicks=3,  score=3,
19.794, 3, Clicked: None, x=555, y=668, Clicked: (43, 0, 255), x=555,  y=668,  RED: x=1447,  y=418,  dx=5.5881818533001635,  dy=-8.292901999568471,  clicks=3,  score=0, Unknown Color: x=557,  y=667,  dx=13.953745177952332,  dy=14.328049256921616,  clicks=24,  score=0, Unknown Color: x=1091,  y=506,  dx=-14.435200172598972,  dy=26.29876415303576,  clicks=3,  score=3,
19.943, 3, Clicked: None, x=555, y=668, Clicked: (43, 0, 255), x=555,  y=668,  RED: x=1448,  y=417,  dx=5.5881818533001635,  dy=-8.292901999568471,  clicks=3,  score=0, Unknown Color: x=559,  y=669,  dx=13.953745177952332,  dy=14.328049256921616,  clicks=25,  score=0, Unknown Color: x=1089,  y=510,  dx=-14.435200172598972,  dy=26.29876415303576,  clicks=3,  score=3,
20.172, 3, Clicked: None, x=571, y=669, Clicked: (43, 0, 255), x=571,  y=669, Clicked: None, x=571, y=669,  RED: x=1449,  y=415,  dx=5.5881818533001635,  dy=-8.292901999568471,  clicks=3,  score=0, Unknown Color: x=562,  y=673,  dx=13.953745177952332,  dy=14.328049256921616,  clicks=26,  score=1, Unknown Color: x=1086,  y=516,  dx=-14.435200172598972,  dy=26.29876415303576,  clicks=3,  score=3,
20.32, 4, Clicked: None, x=593, y=683, Clicked: (43, 0, 255), x=593,  y=683, Clicked: None, x=593, y=683,  RED: x=1450,  y=414,  dx=5.5881818533001635,  dy=-8.292901999568471,  clicks=3,  score=0, Unknown Color: x=564,  y=675,  dx=13.953745177952332,  dy=14.328049256921616,  clicks=27,  score=2, Unknown Color: x=1084,  y=520,  dx=-14.435200172598972,  dy=26.29876415303576,  clicks=3,  score=3,
20.451, 5, Clicked: None, x=608, y=689, Clicked: (43, 0, 255), x=608,  y=689, Clicked: None, x=608, y=689,  RED: x=1451,  y=413,  dx=5.5881818533001635,  dy=-8.292901999568471,  clicks=3,  score=0, Unknown Color: x=566,  y=677,  dx=13.953745177952332,  dy=14.328049256921616,  clicks=28,  score=3, Unknown Color: x=1082,  y=524,  dx=-14.435200172598972,  dy=26.29876415303576,  clicks=3,  score=3,
20.567, 6, Clicked: None, x=608, y=689, Clicked: (43, 0, 255), x=608,  y=689, Clicked: None, x=608, y=689,  RED: x=1451,  y=412,  dx=5.5881818533001635,  dy=-8.292901999568471,  clicks=3,  score=0, Unknown Color: x=567,  y=678,  dx=13.953745177952332,  dy=14.328049256921616,  clicks=29,  score=4, Unknown Color: x=1080,  y=527,  dx=-14.435200172598972,  dy=26.29876415303576,  clicks=3,  score=3,
20.697, 7, Clicked: None, x=608, y=689, Clicked: (43, 0, 255), x=608,  y=689, Clicked: None, x=608, y=689,  RED: x=1452,  y=411,  dx=5.5881818533001635,  dy=-8.292901999568471,  clicks=3,  score=0, Unknown Color: x=569,  y=680,  dx=13.953745177952332,  dy=14.328049256921616,  clicks=30,  score=5, Unknown Color: x=1078,  y=530,  dx=-14.435200172598972,  dy=26.29876415303576,  clicks=3,  score=3,
20.846, 8, Clicked: None, x=608, y=689, Clicked: (43, 0, 255), x=608,  y=689, Clicked: None, x=608, y=689,  RED: x=1453,  y=409,  dx=5.5881818533001635,  dy=-8.292901999568471,  clicks=3,  score=0, Unknown Color: x=571,  y=682,  dx=13.953745177952332,  dy=14.328049256921616,  clicks=31,  score=6, Unknown Color: x=1076,  y=534,  dx=-14.435200172598972,  dy=26.29876415303576,  clicks=3,  score=3,
20.963, 9, Clicked: None, x=608, y=689, Clicked: (43, 0, 255), x=608,  y=689, Clicked: None, x=608, y=689,  RED: x=1453,  y=408,  dx=5.5881818533001635,  dy=-8.292901999568471,  clicks=3,  score=0, Unknown Color: x=573,  y=684,  dx=13.953745177952332,  dy=14.328049256921616,  clicks=32,  score=7, Unknown Color: x=1074,  y=537,  dx=-14.435200172598972,  dy=26.29876415303576,  clicks=3,  score=3,
